,activity,group,expt,calc
0,-11.01,train,-11.01,-9.625
1,-4.87,train,-4.869999900000002,-6.2189999
2,1.83,train,1.83,2.4519999
3,-5.45,train,-5.4499998,-5.809
4,-4.21,train,-4.21,-2.9170001
5,2.34,train,-6.27,-5.4439998
6,-3.92,train,2.3399999,2.4679999
7,1.58,train,-3.9200001,-2.779
8,-4.62,train,1.58,1.6849999
9,-1.96,train,-4.619999900000002,-3.145
10,-3.88,train,-1.96,-0.405
11,-4.33,train,-3.8800001,-2.4159999
12,-2.49,train,-4.329999900000002,-3.3099999
13,-2.55,train,-2.49,-3.1099999
14,-4.78,train,-2.55,-1.501
15,-2.22,train,-4.7800002,-2.5969999
16,2.88,train,-1.46,-1.7519999999999998
17,-6.34,train,-2.22,-2.2539999
18,-6.1,train,-5.8499999,-5.8330002
19,-5.48,train,2.8800001,2.6860001
20,-4.1,train,-6.3400002,-8.2919998
21,-4.1,train,-6.0999999,-10.644
22,-4.47,train,-5.48,-4.3449998
23,-3.43,train,-4.0999998999999985,-3.6040001
24,0.93,train,-4.0999998999999985,-3.2379999
25,-6.78,train,-3.52,-2.1470001
26,-9.29,train,-4.4699998,-3.2880001000000005
27,-4.07,train,-2.74,-2.6289999
28,-2.13,train,-3.4300001000000004,-3.148
29,-3.64,train,-7.809999900000001,-6.932000200000001
30,-2.68,train,-0.80000001,-0.65799999
31,3.13,train,0.93000001,2.3570001
32,-10.0,train,-6.780000200000001,-7.665
33,-8.11,train,-9.29,-8.112999900000002
34,-1.12,train,-4.0700002,-2.9860001
35,-23.62,train,-5.9099998,-5.5430002
36,-2.83,train,-2.1300001,-3.414
37,-4.68,train,-3.6400001,-2.4460001
38,-5.56,train,-2.6800001,-3.221
39,-3.65,train,3.1300001,3.221
40,-5.49,train,-10.0,-8.276
41,-4.42,train,2.0599999,2.9949999
42,-6.2,train,-8.1099997,-7.849
43,-6.96,train,-1.12,-0.117
44,-0.16,train,-23.620001,-18.162001
45,-0.25,train,-2.8299999,-3.552
46,-9.3,train,-4.6799998,-8.809
47,-4.63,train,-5.5599999,-3.861000100000001
48,-10.22,train,-3.6500001,-2.233
49,-3.56,train,-5.4899998,-5.5430002
50,-3.65,train,3.1199999,2.4890001
51,-9.51,train,-4.420000099999998,-2.9949999
52,-0.23,train,-6.1999998,-3.221
53,-16.43,train,-6.96,-7.393000099999999
54,-3.2,train,-0.16,0.28400001
55,-9.31,train,-0.25,-0.56999999
56,-1.88,train,-4.630000099999998,-3.5009999
57,-14.21,train,-10.22,-10.914
58,-2.88,train,-3.5599999,-3.5899999
59,-7.77,train,-3.6500001,-2.589
60,-4.5,train,1.0700001,-1.4409999999999998
61,-0.99,train,-9.5100002,-9.7849998
62,-3.78,train,-0.23,-0.093999997
63,-0.84,train,-0.11,0.226
64,-7.66,train,-16.43,-16.039
65,-3.15,train,0.56,1.955
66,-6.62,train,-3.2,-2.6359999
67,-18.17,train,-9.3100004,-8.1029997
68,2.1,train,-1.88,-1.835
69,-0.55,train,-14.21,-13.599
70,-0.03,train,-8.1800003,-6.676000099999999
71,-1.21,train,-2.8800001,-2.7579999
72,2.67,train,-7.77,-8.1730003
73,-9.73,train,-4.5,-3.1559999
74,-2.49,train,-0.99000001,-0.097999997
75,-4.02,train,-3.78,-4.3039999
76,-2.1,train,-0.83999997,0.18700001
77,-4.59,train,-7.6599998,-6.968999900000001
78,2.3,train,-3.1500001,-4.198
79,-6.09,train,0.51999998,1.352
80,-7.07,train,-6.619999900000002,-5.1329999000000015
81,-0.33,train,-18.17,-17.298
82,-1.28,train,2.0999999,2.5880001
83,-3.88,train,-0.55000001,0.764
84,-1.92,train,-0.029999999,0.75599998
85,0.1,train,-1.21,0.14
86,1.01,train,2.6700001,2.925
87,-0.83,train,-9.630000099999998,-7.972000099999999
88,-3.13,train,-3.8399999,-2.6600001
89,-4.04,train,-9.7299995,-14.496
90,-3.64,train,-2.49,-1.882
91,-1.1,train,-4.1300001,-4.5689998
92,-9.61,train,-4.02,-2.075
93,-2.38,train,-2.0999999,-0.70999998
94,-2.23,train,-4.5900002,-3.638
95,-1.66,train,2.3,2.5350001
96,-6.32,train,-6.0900002,-8.843999900000002
97,-9.65,train,-7.070000200000001,-9.029000300000002
98,-4.38,train,-0.33000001,0.97299999
99,-0.53,train,-1.28,0.63999999
100,-12.64,train,-4.059999899999998,-2.585
101,-4.29,train,-3.8800001,-2.789
102,-7.03,train,-1.92,-3.964
103,-5.11,train,0.1,-1.156
104,-0.89,train,1.01,2.487
105,-6.44,train,-0.82999998,-0.69700003
106,-0.78,train,-3.1300001,-3.8299999
107,2.3,train,-4.04,-5.559
108,-3.64,train,-3.6400001,-4.5970001
109,-5.04,train,-1.1,-0.182
110,-1.82,train,-3.04,-2.9449999
111,-2.46,train,-9.6099997,-11.126
112,-3.48,train,-2.3800001,-1.853
113,2.52,train,-2.23,-2.9289999
114,-3.73,train,-1.66,-0.59799999
115,-3.12,train,-6.3200002,-5.7740002
116,-3.17,train,-9.6499996,-7.738999799999998
117,0.25,train,-4.380000099999998,-0.70499998
118,-4.5,train,-0.52999997,-0.51099998
119,-2.44,train,-12.64,-17.621
120,-2.73,train,-4.29,-2.9909999
121,-5.66,train,2.9300001,2.3050001
122,1.09,train,-7.030000200000001,-5.3730001
123,0.68,train,-5.1100001,-3.8729999
124,-0.68,train,-3.8800001,-5.2639999
125,-8.41,train,-0.88999999,-0.64099997
126,-9.3,train,-6.4400001,-5.98
127,-1.36,train,-0.77999997,1.024
128,-15.83,train,2.3,2.6730001
129,-2.48,train,-3.6400001,-2.2869999
130,-3.1,train,0.5,0.234
131,-6.21,train,-5.04,-5.494999900000002
132,-5.71,train,-1.8200001,-1.864
133,-4.86,train,-2.46,-1.903
134,0.14,train,-3.48,-1.3099999
135,-7.58,train,2.52,2.625
136,-3.04,train,-3.73,-2.9070001
137,-6.5,train,-3.1199999,-1.809
138,-4.0,train,0.75,2.4849999
139,-0.44,train,-3.1700001,-0.82200003
140,-4.15,train,0.25,1.108
141,-5.22,train,-4.5,-3.1300001
142,-18.06,train,-2.4400001,-2.4530001
143,-4.02,train,-0.63999999,0.88499999
144,-4.39,train,-2.73,-1.325
145,-4.7,train,-5.6599998,-4.7680001
146,-1.14,train,1.09,0.82599998
147,-9.8,train,0.68000001,1.824
148,-4.42,train,-0.68000001,-0.456
149,-0.4,train,-8.409999800000001,-6.2820000999999985
150,-3.45,train,-9.3000002,-7.265999799999999
151,-2.98,train,-1.36,-0.55299997
152,-1.99,train,-15.83,-15.128
153,-4.69,train,-2.48,-3.6989999
154,-2.64,train,-3.0999999,-4.0539999
155,-0.9,train,-6.21,-7.877999799999999
156,-6.5,train,-5.71,-8.6829996
157,-10.03,train,-4.8600001,-3.2820001000000003
158,0.4,train,0.14,1.175
159,-7.65,train,-7.579999900000002,-7.874000099999999
160,-8.72,train,-3.04,-1.0829999
161,-2.26,train,-6.5,-6.96
162,-2.63,train,-4.0,-3.816
163,-4.4,train,-3.1800001,-3.0439999
164,-1.66,train,-0.79000002,-0.60600001
165,-2.13,train,-0.44,0.81800002
166,-6.13,train,-3.22,-1.955
167,-6.4,train,-4.1500001000000015,-2.3099999
168,-3.82,train,-5.2199998,-3.201
169,-6.35,train,-18.059999,-21.761999
170,-0.8,train,-4.02,-5.058000099999999
171,1.79,train,-4.3899999,-3.8729999
172,-4.72,train,-0.56999999,0.94400001
173,-0.8,train,-4.6999998,-4.9099998
174,-2.94,train,-2.75,-3.155
175,-1.69,train,-1.14,-0.47299999
176,-2.21,train,-9.8000002,-7.830999900000001
177,-2.55,train,-4.420000099999998,-3.7
178,-3.41,train,-0.40000001,-0.227
179,-1.1,train,-3.45,-4.4260001
180,-2.4,train,-2.01,-0.65700001
181,-4.4,train,-4.5300002,-1.147
182,-9.94,train,-2.98,0.75999999
183,-3.11,train,-1.99,-0.384
184,-4.87,train,-4.6900001,-5.7189999
185,-3.22,train,-2.6400001,-3.3710001000000003
186,-3.67,train,-0.89999998,-0.80599999
187,1.59,train,-1.24,-0.50999999
188,2.0,train,-6.5,-7.0240002000000015
189,-3.3,train,-10.03,-14.106
190,-9.45,train,-4.0500002,-3.1600001
191,-9.52,train,0.40000001,1.862
192,-3.95,train,1.58,2.628
193,-1.31,train,-1.59,-0.61699998
194,-2.4,train,-7.650000099999999,-10.552
195,-8.61,train,-8.7200003,-8.770999900000001
196,-5.26,train,-2.26,-2.2190001
197,-5.49,train,-4.6999998,-3.8889999
198,-9.53,train,-6.1599998,-9.0530005
199,-11.85,train,-0.74000001,0.48699999
200,-4.24,train,-2.6300001,-2.8480000000000003
201,-2.49,train,-4.4000001,-3.0
202,-5.57,train,-2.6900001,-2.5079999
203,-8.7,train,0.67000002,1.3380001
204,-2.47,train,-1.66,-1.596
205,2.51,train,-2.1300001,-0.53100002
206,0.06,train,-6.130000099999998,-5.4530001
207,3.16,train,-6.4000001,-3.9400001
208,-4.95,train,-3.8199999,-5.441999900000001
209,1.32,train,-18.719999,-17.742001000000005
210,-5.88,train,-6.3499999,-9.434
211,-4.45,train,-0.80000001,-2.319
212,-0.3,train,-20.52,-14.148
213,2.56,train,1.79,1.564
214,-3.24,train,-4.7199998,-3.2320001
215,-3.24,train,-0.80000001,-0.041000001
216,-0.99,train,-2.9400001,-3.7449999
217,-3.81,train,-1.6900001,-2.5799999
218,-8.68,train,-2.21,-0.69099998
219,-4.59,train,-2.55,-0.97399998
220,-0.5,train,-3.4100001000000004,-3.05
221,-6.88,train,-1.1,-1.3530000000000002
222,-8.26,train,-2.4000001,-3.2130001
223,-0.48,train,-4.4000001,-0.80500001
224,-1.08,train,-9.9399996,-9.3990002
225,-1.21,train,-3.1099999,-3.234
226,-1.93,train,-4.869999900000002,-8.824000400000003
227,1.7,train,-4.73,-3.1900001
228,-1.38,train,-3.22,-1.985
229,-0.16,train,-3.6700001,-3.3210001000000005
230,-5.8,train,-3.79,-2.5539999
231,-3.44,train,1.59,1.785
232,-0.9,train,2.0,2.4949999
233,-2.22,train,-3.3,-1.984
234,-9.2,train,-9.4499998,-10.436
235,-2.11,train,-9.5200005,-9.3690004
236,-5.21,train,-3.95,-5.1869998
237,-1.79,train,-1.3099999,0.037999999
238,2.56,train,-2.4000001,-3.3039998999999995
239,-2.78,train,-1.45,-0.37900001
240,-4.59,train,-8.6099997,-9.6239996
241,-1.12,train,-5.2600002,-4.308000099999999
242,-5.31,train,-5.4899998,-5.3779998
243,-7.29,train,-9.5299997,-10.984000000000002
244,-7.1,train,-11.85,-15.252
245,-2.89,train,-2.49,-2.563
246,-2.93,train,-4.2399998,-2.9610000000000003
247,-4.35,train,-2.49,-3.381
248,-2.15,train,-5.5700002,-5.494
249,-1.95,train,0.079999998,0.043000001
250,-1.74,train,1.77,1.6909999999999998
251,-0.74,train,-8.6999998,-10.642
252,-5.26,train,-0.98000002,-0.11
253,-10.08,train,-2.47,-2.9949999
254,-4.44,train,2.51,2.8080001
255,-2.3,train,-5.04,-9.625
256,-9.86,train,0.05999999900000001,0.233
257,1.31,train,1.28,2.3280001
258,1.83,train,-0.14,-0.111
259,-5.33,train,-4.420000099999998,-4.625
260,-1.46,train,3.1600001,3.335
261,-6.75,train,-4.9499998,-5.6459999000000005
262,-2.45,train,1.3200001,2.3280001
263,-5.91,train,-5.880000099999998,-8.1610003
264,-1.01,train,-12.74,-13.424
265,-0.77,train,1.23,1.503
266,1.68,train,-4.4499998,-2.5179999
267,-1.34,train,-0.30000001,-0.67400002
268,0.6,train,2.5599999,2.674
269,-2.34,train,-3.24,-3.0780001
270,-9.34,train,-3.24,-2.076
271,-2.87,train,-0.99000001,-0.17399999
272,-3.09,train,-3.8099999,-2.7750001
273,-7.0,train,-8.680000300000001,-9.845999699999998
274,-4.23,train,-4.5900002,-3.953000100000001
275,-3.71,train,-0.5,-0.067000002
276,-4.01,train,-6.880000099999998,-6.5879998
277,-5.1,train,-8.2600002,-7.843999900000001
278,-2.67,train,-0.47999999,0.064999998
279,-2.28,train,-2.0699999,-2.336
280,-7.37,train,-6.46,-9.0880003
281,-3.88,train,-1.08,0.285
282,-2.29,train,-1.21,-0.88300002
283,-4.12,train,2.0,2.4460001
284,-25.47,train,-1.9299999,-1.742
285,-0.22,train,1.7,1.679
286,-9.28,train,-1.38,-0.30000001
287,-3.15,train,-4.6900001,-3.5079999
288,-5.53,train,-0.16,0.99299997
289,-0.4,train,-2.9200001,-1.7869999
290,0.1,train,-5.8000002,-4.5469999
291,-2.78,train,-3.4400001,-3.23
292,-0.95,train,-0.89999998,-0.79000002
293,-4.77,train,-2.22,-3.4579998999999995
294,-5.73,train,-9.1999998,-9.5349998
295,-3.35,train,-3.54,-3.4200001
296,-5.1,train,-2.1099999,-2.1760001
297,-3.3,train,-5.21,-5.211
298,0.18,train,1.3099999,2.2720001
299,0.34,train,-1.79,-0.36300001
300,-3.52,train,2.5599999,2.5929999
301,-6.4,train,-2.78,-2.9530001
302,0.0,train,-4.5900002,-3.4430001000000003
303,-0.04,train,-1.12,-0.685
304,-7.78,train,-5.3099999,-5.7509999
305,1.07,train,-7.29,-7.201000200000001
306,-7.63,train,-7.099999900000001,-7.4250002
307,-4.61,train,-4.4299998,-2.9330001
308,-9.4,train,-8.21,-6.8509997999999985
309,2.11,train,-2.8900001,-2.3740001
310,-5.46,train,-2.9300001,-3.221
311,-7.43,train,-4.3499999,-2.786
312,-4.91,train,-2.1500001,-2.201
313,-0.85,train,-1.95,-0.80000001
314,-3.75,train,-1.74,-1.057
315,-2.7,train,-5.1799998,-4.0879998
316,-6.16,train,-0.74000001,-0.60900003
317,-6.74,train,-5.2600002,-4.1269999
318,-5.66,train,-0.47999999,0.44800001
319,-1.61,train,-1.39,-0.89399999
320,-10.78,train,-10.17,-8.3900003
321,-5.49,train,-10.08,-10.559
322,-2.56,train,-6.25,-5.2719998
323,-7.98,train,-4.4400001,-3.257
324,-0.59,train,-2.3,-1.091
325,-2.92,train,-9.8599997,-8.658
326,-4.27,train,1.3099999,2.3740001
327,-7.4,train,1.83,2.4649999
328,-5.74,train,-5.329999900000002,-4.0549998
329,-6.69,train,-1.46,0.29899999
330,-5.51,train,-6.75,-5.5819998
331,-3.34,train,-7.29,-5.1389999
332,-16.92,train,-2.45,-2.3180001
333,-5.0,train,-5.9099998,-5.0139999
334,-3.37,train,-1.01,-0.19
335,-4.71,train,-0.76999998,-0.171
336,-2.56,train,1.6799999,2.5320001
337,-1.34,train,-1.34,-0.30399999
338,-5.23,train,0.60000002,0.639
339,-9.62,train,-2.3399999,-2.573
340,-4.09,train,-1.12,-0.47499999
341,1.38,train,-9.3400002,-7.873000099999999
342,0.08,train,-3.03,-2.927
343,-9.13,train,-2.8699999,-2.8099999
344,-1.83,train,-4.9099998,-4.1799998
345,-9.01,train,-3.0899999,-1.449
346,-8.84,train,-7.0,-7.337999799999999
347,-1.91,train,-4.23,-2.2479999
348,2.48,train,-3.71,-1.839
349,-2.33,train,-4.0100002,-2.767
350,-1.23,train,-0.81999999,0.46000001
351,-15.46,train,-5.0999999,-3.4909999
352,-5.21,train,-2.6700001,-2.704
353,-5.72,train,-2.28,-1.226
354,-1.14,train,-7.369999900000002,-7.6599998
355,-1.64,train,-3.8800001,-3.467
356,-1.4,train,-2.29,-2.5699999
357,-4.61,train,-4.1199999,-3.46
358,-2.45,train,-2.53,-3.523
359,-6.69,train,-25.469999,-18.094999
360,-3.5,train,-0.22,0.88099998
361,0.29,train,-9.2799997,-8.243
362,-6.12,train,-3.1500001,-4.9000001
363,-6.6,train,-5.5300002,-5.3249998
364,-3.84,train,-0.40000001,0.70499998
365,-7.67,train,-3.8800001,-2.5639999
366,-2.64,train,-4.9299998,-3.3429999
367,-9.84,train,0.1,1.3279999
368,-5.9,train,0.83999997,0.43799999
369,-2.86,train,-2.78,-2.47
370,-9.4,train,-0.94999999,-0.57499999
371,-0.56,train,-4.77,-3.221
372,-0.25,train,-5.73,-5.4359999000000006
373,-10.64,train,-3.3499999,-4.2690001
374,-1.27,train,-9.71,-8.819999699999997
375,-5.9,train,-5.0999999,-8.411000300000001
376,-9.44,train,-2.3699999,-0.53399998
377,-4.82,train,-3.3,-4.3759999
378,-6.02,train,0.18000001,1.0759999999999998
379,-3.9,train,0.34,1.223
380,-3.93,train,-3.52,-4.473
381,-7.62,train,-6.4000001,-5.8590002
382,-3.71,train,0.0,0.92699999
383,-3.8,train,-0.039999999,-0.1
384,1.16,train,-7.780000200000001,-8.2919998
385,-3.61,train,1.0700001,-0.34
386,-2.82,train,-7.630000099999998,-7.9970002
387,-3.68,train,-7.280000200000001,-7.777
388,-11.95,train,-6.0,-6.716000099999999
389,-3.47,train,-4.6100001,-3.043
390,2.88,train,-4.7800002,-4.0139999
391,-2.49,train,-9.3999996,-6.612999900000001
392,-0.53,train,2.1099999,1.918
393,-5.22,train,-5.46,-4.178
394,-0.11,train,-7.429999799999999,-7.349
395,-0.83,train,-6.1900001,-4.954999900000002
396,2.83,train,-4.9099998,-4.8470001
397,-4.72,train,-0.86000001,-0.79500002
398,-4.22,train,-0.85000002,-0.76099998
399,2.71,train,-3.75,-3.3440001000000006
400,-1.96,train,-2.7,-3.1429999
401,-1.29,train,-6.1599998,-5.1479998
402,-4.84,train,-7.190000099999999,-10.466
403,-0.45,train,-6.7399998,-9.2110004
404,-6.92,train,-5.6599998,-7.502999799999999
405,-6.23,train,-1.61,0.44
406,-5.33,train,-10.78,-17.242001000000002
407,-7.78,train,-5.4899998,-4.29
408,-10.21,train,-2.5599999,-3.4920001000000003
409,-2.21,train,1.47,2.4860001
410,0.0,train,-8.4200001,-13.953
411,-2.81,train,-7.98,-11.246
412,-5.82,train,-0.58999997,1.1619999
413,-7.17,train,-9.7600002,-8.0810003
414,-3.28,train,-2.9200001,-2.704
415,-1.2,train,-3.9200001,-4.921
416,-4.23,train,-4.27,-5.0139999
417,-4.4,train,-2.28,-2.7539999
418,-5.03,train,-7.400000099999999,-8.4809999
419,-1.5,train,-5.7399998,-16.514999
420,-2.51,train,-6.690000099999999,-4.4070000999999985
421,-1.62,train,2.51,2.6129999
422,-4.58,train,-5.5100002,-6.1609998
423,-0.63,train,-3.3399999,-1.632
424,-0.78,train,-0.89999998,-0.55299997
425,-9.37,train,-16.92,-16.371
426,-4.09,train,-5.0,-3.3940001000000004
427,2.93,train,-2.8199999,-3.0810001
428,-6.25,train,-3.3699999,-2.54
429,-4.82,train,-4.71,-3.3199999
430,-11.0,train,-2.5599999,-3.8670001
431,-13.43,train,-1.34,0.035
432,-0.53,train,-5.23,-5.2030001
433,-1.43,train,-9.619999900000002,-7.888999900000001
434,-2.93,train,-4.0900002,-2.6900001
435,1.2,train,1.38,2.3670001
436,-4.59,train,0.079999998,1.1849999
437,-6.62,train,-6.79,-5.2800002
438,-2.78,train,-9.130000099999998,-11.81
439,-7.47,train,-1.83,-0.093000002
440,-10.27,train,-9.0100002,-8.7180004
441,-3.45,train,-8.840000199999997,-12.333
442,-2.32,train,-1.91,-0.85299999
443,-5.99,train,2.48,2.8510001
444,-2.49,train,-2.3299999,-1.275
445,-4.16,train,-1.23,0.059
446,-0.1,train,-15.46,-17.349001
447,1.92,train,-5.21,-5.5700002
448,-4.51,train,-2.79,-3.4860001000000005
449,-4.74,train,-5.7199998,-4.9889998
450,-3.95,train,-1.14,-0.39500001
451,-4.8,train,-1.64,-0.97899997
452,-6.01,train,-1.4,-0.359
453,-4.57,train,-2.4000001,-2.9610000000000003
454,-4.39,train,-3.52,-3.1659999
455,2.97,train,-4.6100001,-0.039000001
456,-7.0,train,-2.45,-1.956
457,-8.15,train,-6.690000099999999,-7.281000099999999
458,-6.5,train,-3.5,-3.372
459,-6.79,train,-8.840000199999997,-8.204000500000001
460,1.68,train,0.28999999,0.55299997
461,-1.16,train,-6.119999900000002,-6.770999900000001
462,-6.68,train,-6.599999900000001,-5.7069998
463,2.89,train,-3.8399999,-2.4909999
464,-2.64,train,-7.670000099999998,-7.137000099999999
465,-3.64,train,-2.6400001,-3.4059998999999994
466,1.66,train,-9.8400002,-9.6789999
467,-2.02,train,-5.9000001,-5.0760002
468,-4.97,train,-2.8599999,-2.9679999
469,2.38,train,-9.3999996,-8.3100004
470,-2.09,train,-0.56,0.579
471,-1.46,train,-0.25,0.833
472,-0.19,train,-1.89,-0.41600001
473,0.27,train,-10.64,-8.472000099999999
474,-4.52,train,-1.27,-0.26499999
475,-2.36,train,-5.9000001,-5.2810001
476,2.51,train,-9.4399996,-12.214
477,-9.82,train,-4.8200002,-3.3670001000000003
478,-6.72,train,-6.02,-5.7649999
479,-7.48,train,-4.369999900000002,-6.4270000000000005
480,0.16,train,-3.9000001,-4.0029998
481,-2.16,train,-3.9300001,-4.5539999
482,-4.55,train,-7.619999900000002,-7.566
483,-11.53,train,-3.71,-1.878
484,-1.17,train,-3.8,-3.506
485,-5.73,train,1.16,2.3269999
486,-5.29,train,-3.6099999,-0.92199999
487,-9.41,train,-2.8199999,-1.325
488,-1.24,train,-3.6800001,-3.1229999
489,-4.31,train,-11.95,-10.036
490,-5.73,train,-3.47,-2.201
491,-4.85,train,2.8800001,3.0880001
492,0.01,train,-3.25,-2.023
493,-9.61,train,-2.49,-2.964
494,-0.25,train,-4.29,-4.9439998
495,-6.13,train,-0.52999997,-0.17800000000000002
496,-0.46,train,2.9300001,2.8940001
497,-5.94,train,-5.2199998,-1.284
498,0.56,train,-0.11,0.206
499,-4.2,train,-0.82999998,0.139
500,-4.58,train,2.55,2.381
501,-2.44,train,2.8299999,2.756
502,-2.33,train,-4.7199998,-3.165
503,-3.43,train,-4.2199998,-3.3410001000000005
504,0.71,train,2.71,2.8099999
505,-6.48,train,-1.96,-0.477
506,-2.04,train,-1.29,-3.043
507,-5.48,train,-4.8400002,-3.1029999
508,-8.83,train,-0.44999999,-0.22
509,0.29,train,-6.920000099999998,-5.7709999000000005
510,-5.06,train,-6.23,-5.3779998
511,-3.92,test,-5.329999900000002,-6.4619999
512,-11.14,test,-7.780000200000001,-9.4090004
513,-1.39,test,-10.21,-12.199000000000002
514,-8.21,test,3.4300001000000004,3.0769999
515,-6.62,test,-2.21,-3.0669999
516,-5.04,test,0.0,1.261
517,0.67,test,-3.05,-3.1159999
518,-3.25,test,-2.8099999,-2.8599999
519,-6.19,test,-5.8200002,-5.138
520,0.5,test,-7.170000099999998,-6.1160002
521,-4.84,test,-3.28,-1.795
522,-17.74,test,-3.51,-2.303
523,-3.52,test,-1.2,-0.273
524,-3.22,test,-4.23,-9.7849998
525,-7.29,test,-4.4000001,-6.5749998
526,0.52,test,-5.0300002,-3.286
527,-2.92,test,-1.5,0.38600001
528,-3.05,test,-2.51,-2.5650001
529,-7.19,test,-1.62,0.13600001
530,-0.8,test,-4.579999900000002,-5.0780001
531,0.84,test,-0.63,0.77499998
532,-0.11,test,2.1300001,2.102
533,-2.49,test,-0.77999997,0.32600001
534,2.55,test,-9.369999900000002,-8.944999699999997
535,-0.79,test,-6.619999900000002,-5.0180001
536,-0.9,test,-4.420000099999998,-3.237
537,-5.85,test,-4.0900002,-2.835
538,-2.01,test,-11.14,-13.769
539,-10.17,test,2.9300001,2.97
540,-4.43,test,-6.25,-3.8499999
541,2.93,test,-4.8200002,-5.1789999
542,-0.82,test,-11.0,-10.412
543,-12.74,test,-3.1300001,-1.7410001
544,-4.91,test,-13.43,-10.14
545,-6.46,test,-0.52999997,-0.44299999
546,0.56,test,-6.5500002,-5.027
547,-4.09,test,-1.4299999,-0.090999998
548,-3.03,test,-2.9300001,-3.652
549,-20.52,test,1.2,1.648
550,-3.04,test,-4.5900002,-2.9649999
551,-0.98,test,-4.8400002,-2.869
552,-2.82,test,-6.619999900000002,-4.6859999000000006
553,-1.89,test,-2.78,-4.027999899999998
554,-1.24,test,-7.469999799999999,-8.0030003
555,-3.54,test,-10.27,-8.2049999
556,-4.69,test,-3.45,-3.2780001000000003
557,-0.86,test,-2.3199999,-0.40400001
558,-3.84,test,-5.9899998,-5.362
559,-3.88,test,-0.44,-0.80299997
560,-0.1,test,-2.49,-3.299
561,-1.24,test,-4.1599998,-3.5179998999999995
562,-18.72,test,-0.1,0.8240000000000001
563,0.08,test,1.92,2.895
564,-6.55,test,-4.5100002,-3.825
565,2.06,test,-4.7399998,-3.427
566,-4.13,test,-3.95,-2.7720001
567,-3.51,test,-4.8000002,-5.322
568,-4.37,test,-6.0100002,-4.98
569,3.12,test,-4.5700002,-3.0539999
570,-4.42,test,-4.3899999,-2.9449999
571,1.47,test,2.97,3.03
572,-0.57,test,-7.0,-10.857
573,1.31,test,-8.1499996,-11.194
574,-3.88,test,-6.5,-5.4710002
575,-8.84,valid,-6.79,-5.1399999
576,-4.78,valid,1.6799999,2.78
577,-4.05,valid,-1.16,-0.0040000002
578,-4.73,valid,-3.2,-3.3499999
579,2.51,valid,-6.679999799999999,-9.2709999
580,-0.64,valid,2.8900001,2.5420001
581,-2.28,valid,-2.6400001,-2.3640001
582,1.28,valid,-3.6400001,-4.573
583,-4.29,valid,1.66,2.7609999
584,1.77,valid,-2.02,-3.5910001000000005
585,-2.79,valid,-4.9699998,-8.005999599999999
586,-2.37,valid,-17.74,-16.612000000000002
587,-3.58,valid,-1.24,-0.65100002
588,-3.28,valid,2.3800001,2.5899999
589,-0.74,valid,-2.0899999,-1.938
590,-4.7,valid,-1.46,-0.94700003
591,-7.28,valid,-0.19,0.505
592,-5.18,valid,-4.0900002,-3.5910001000000005
593,-3.79,valid,-3.5799999,-3.1329999
594,-3.18,valid,0.27000001,0.228
595,1.58,valid,-4.52,-6.79
596,-4.06,valid,-0.1,1.084
597,-2.74,valid,-2.3599999,-2.8959999
598,-6.16,valid,2.51,2.4949999
599,-0.48,valid,-9.8199997,-9.4160004
600,-4.39,valid,-6.719999799999999,-6.3600001
601,-4.55,valid,-7.48,-7.0159998
602,-6.0,valid,0.16,-0.257
603,-8.42,valid,-2.1600001,-1.151
604,2.13,valid,-4.5500002,-3.5829998999999995
605,-9.71,valid,-4.5500002,-3.3169998999999994
606,-4.93,valid,-11.53,-13.895
607,-0.14,valid,-1.17,1.156
608,-1.45,valid,-3.28,-3.006
609,0.75,valid,-5.73,-6.2270002
610,2.93,valid,-5.29,-3.346
611,-4.42,valid,-9.4099998,-13.87
612,-3.13,valid,-1.24,-1.0779999
613,-3.52,valid,-7.5,-10.251
614,-0.44,valid,-4.3099999,-3.809
615,1.07,valid,-5.73,-3.891
616,-5.91,valid,-4.8499999,-3.3299999
617,-8.18,valid,-0.89999998,-0.85100001
618,-2.4,valid,2.51,2.506
619,2.51,valid,0.0099999998,0.47
620,-3.2,valid,-9.6099997,-11.825
621,-1.46,valid,-0.25,-0.223
622,-0.9,valid,-6.130000099999998,-5.579
623,-6.27,valid,-0.46000001,-0.49200001
624,-4.53,valid,-5.9400001,-4.7459998
625,-2.07,valid,0.56,1.23
626,-9.76,valid,-4.1999998,-3.4860001000000005
627,-2.53,valid,-4.3899999,-3.053
628,3.43,valid,-4.579999900000002,-5.6669998
629,-2.69,valid,-2.4400001,-3.2119999
630,-7.5,valid,-2.3299999,0.37900001
631,-9.63,valid,-3.4300001000000004,-2.7060001
632,-6.79,valid,0.70999998,0.83200002
633,-7.81,valid,-6.48,-10.753
634,-6.25,valid,-2.04,-3.0350001
635,-1.59,valid,-5.48,-4.2779999
636,-1.12,valid,-8.8299999,-10.05
637,-2.75,valid,0.28999999,1.467
638,1.23,valid,-5.0599999,-4.2690001
